,state,coc,new_homeless,existing,return_from_PH,total_count,exit_to_unknown,total_exiting_to_PH,remain,total_exiting,%_successful_exit
317,PA,York City & County CoC,1685,181.0,138.0,2004.0,404.0,205.0,1395.0,609.0,2.970731707317073
318,PA,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",2587,-156.0,219.0,2650.0,1218.0,1527.0,-95.0,2745.0,1.7976424361493124
319,PA,Western Pennsylvania CoC,1961,-784.0,205.0,1382.0,461.0,1262.0,-341.0,1723.0,1.3652931854199684
320,PA,Beaver County CoC,739,-215.0,68.0,592.0,356.0,347.0,-111.0,703.0,2.025936599423631
321,PA,Erie City & County CoC,913,324.0,225.0,1462.0,784.0,443.0,235.0,1227.0,2.769751693002257
322,PR,Puerto Rico Balance of Commonwealth CoC,529,-3.0,243.0,769.0,319.0,360.0,90.0,679.0,1.886111111111111
323,PR,South-Southeast Puerto Rico CoC,530,-173.0,95.0,452.0,212.0,248.0,-8.0,460.0,1.8548387096774193
324,RI,Rhode Island Statewide CoC,710,1148.0,442.0,2300.0,972.0,760.0,568.0,1732.0,2.278947368421053
325,SC,Charleston/Low Country CoC,761,-25.0,137.0,873.0,319.0,509.0,45.0,828.0,1.6267190569744596
326,SC,"Greenville, Anderson, Spartanburg/Upstate CoC",961,39.0,81.0,1081.0,517.0,403.0,161.0,920.0,2.2828784119106698
327,SC,Columbia/Midlands CoC,2013,844.0,289.0,3146.0,1978.0,819.0,349.0,2797.0,3.415140415140415
328,SC,"Myrtle Beach, Sumter City & County CoC",1715,-15.0,143.0,1843.0,967.0,742.0,134.0,1709.0,2.303234501347709
329,SD,South Dakota Statewide CoC,1720,-169.0,212.0,1763.0,1270.0,576.0,-83.0,1846.0,3.204861111111111
330,TN,Chattanooga/Southeast Tennessee CoC,1178,171.0,103.0,1452.0,1081.0,285.0,86.0,1366.0,4.792982456140351
